a: ə; e
abalone: ,æbə'loni
abandon: ə'bænd(ə)n
abandonment: ə'bændənmənt
abase: ə'bes
abash: ə'bæʃ
abate: ə'beɪt
abbess: 'æbɛs
abbey: 'æbi
abbreviate: ə'brivɪ'et
abbreviation: əbriːvɪ'eɪʃ(ə)n
abdicate: 'æbdɪket
abdomen: 'æbdəmən
abdominal: æb'dɑmənl
abduction: æb'dʌkʃən
abed: ə'bɛd
aberrant: æ'bɛrənt
aberration: 'æbə'reʃən
abet: ə'bɛt
abeyance: ə'beəns
abhor: əb'hɔr
abhorrence: əb'hɔrəns
abhorrent: əb'hɒrənt
abidance: ə'baɪdns
abide: ə'baɪd
abiding: ə'baɪdɪŋ
abigail: 'æbɪ,gel
ability: əˈbɪlɪtɪ
abject: 'æbdʒɛkt
abjure: əb'dʒʊr
ablaze: ə'blez
able: ˈeɪb(ə)l
ablution: əb'lʊʃən
abnegate: 'æbniɡeit
abnormal: æb'nɔːml
abnormality: ,æbnɔr'mæləti
abnormally: æb'nɔ:məlɪ
aboard: ə'bɔrd
abode: ə'bəud
abolish: ə'bɒlɪʃ
abolition: ,æbə'lɪʃən
abominable: ə'bɑmɪnəbl
abominate: ə'bɑmɪnet
abomination: ə,bɑmɪ'neʃən
aboriginal: æbə'rɪdʒɪn(ə)l
aborigine: 'æbə'rɪdʒəni
abort: ə'bɔːt
abortion: ə'bɔːʃ(ə)n
abortive: ə'bɔrtɪv
abound: ə'baʊnd
about: əˈbaʊt
above: əˈbʌv
aboveground: ə'bʌv,graʊnd
abrade: ə'bred
abrasion: ə'breɪʒ(ə)n
abreast: ə'brɛst
abridge: ə'brɪdʒ
abridgement: ə'bridʒmənt
abroad: əˈbrɔːd
abrogate: 'æbrəɡet
abrupt: ə'brʌpt
abruptly: ə'brʌptli
abruptness: əbrˈʌptnəs
abscond: əb'skɑnd
absence: 'æbsns
absent: 'æbsənt
absent-minded: 'æbsənt'maɪndɪd
absenteeism: ˌæbsən'tiːɪzəm
absolute: 'æbsəluːt
absolutely: 'æbsəlutli
absolution: ,æbsə'luʃən
absolve: əb'zɑlv
absorb: əb'zɔːb; -'sɔːb
absorption: əbˈsɔrpʃən, -ˈzɔrp-
abstain: əb'sten
abstemious: əb'stimɪəs
abstract: 'æbstrækt
abstraction: æb'strækʃn
abstruse: əbˈstruːs; æb-
absurd: əb'sɜːd
abundance: ə'bʌnd(ə)ns
abundant: ə'bʌndənt
abundantly: ə'bʌndəntli
abuse: ə'bjuːz
abusive: ə'bjʊsɪv
abut: ə'bʌt
abysmal: ə'bɪzməl
abyss: ə'bɪs
academic: ækə'demɪk
academically: ,ækə'dɛmɪkəli
academician: ,ækədə'mɪʃən
academy: ə'kædəmi
accede: ək'sid
accelerate: ək'seləreɪt
acceleration: ək'sɛlə'reʃən
accent: 'æksɛnt
